"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT01634919","Histologic Changes and Noninvasive Assessment in Hepatitis C Patients Treated With Peginterferon Alpha-2a and Ribavirin",,"Completed","No Results Available","Chronic Hepatitis C","Device: chronic hepatitis C","Anti-fibrotic response|Histologic and noninvasive fibrosis assessments","Seoul National University Boramae Hospital|Roche Pharma AG","All","20 Years and older   (Adult, Older Adult)",,"55","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","06-2012-74","July 2012","February 17, 2017","February 9, 2018","July 6, 2012",,"March 20, 2020","Seoul Metropolitan Government Boramae Medical Center, Seoul, Korea, Republic of|SMG-SNU Boramae Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01634919"
12,"NCT02603055","A Clinical Trial to Evaluate a Recombinant Hepatitis E Vaccine in Healthy Adults",,"Completed","No Results Available","Hepatitis E","Biological: 30μg/0.5ml Hepatitis E vaccine|Biological: 30μg/0.5ml Recombinant Hepatitis E vaccine","Occurrence of adverse reactions after vaccination|The geometric mean concentration of antibody against Hepatitis E responses to the Hepatitis E vaccine|Occurrence of adverse events after each vaccination|Occurrence of serious adverse events after the vaccination.|The positive rates of antibody against Hepatitis E responses to the Hepatitis E vaccine.","Jiangsu Province Centers for Disease Control and Prevention|Changchun Institute of Biological Products Co., Ltd.","All","16 Years to 65 Years   (Child, Adult, Older Adult)","Phase 1","60","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","JSVCT025","July 2015","April 2016","August 2016","November 11, 2015",,"September 1, 2016","Jiangsu Provincial Center for Diseases Control and Prevention, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT02603055"
13,"NCT04437277","Screening for Chronic Hepatitis C Virus in Hospitalized Patients","DeViCHO","Completed","No Results Available","Hepatitis C","Diagnostic Test: Hepatitis C, serology","Prevalence of hepatitis C through the different department of Saint Joseph Hospital|number of viremic patients with risk factors|number of viremic patients without risk factors|number of patients who refuse viral screening","Hospital St. Joseph, Marseille, France","All","18 Years and older   (Adult, Older Adult)","Not Applicable","5000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2018-A02595-50","November 22, 2019","November 30, 2021","November 30, 2021","June 18, 2020",,"January 11, 2022","Hopital Saint Joseph, Marseille, Paca, France",,"https://ClinicalTrials.gov/show/NCT04437277"
14,"NCT02152709","Study of Evaluating Safety and Immunogenicity of 10µg/0.5ml Hepatitis B Vaccine",,"Completed","No Results Available","Hepatitis B","Biological: 3 dose of 10µg/0.5ml hepatitis B vaccine|Biological: 3 dose of 5µg/0.5ml hepatitis B vaccine","Number of subjects with adverse events|Geometric mean concentration of anti-hepatitis B virus surface antigen antibody|The rate of hepatitis B virus perinatal transmission|Geometric mean concentration of anti-hepatitis B virus surface antigen antibody after the second dose of hepatitis B vaccination","Jiangsu Province Centers for Disease Control and Prevention|Beijing Tiantan Biological Products Co., Ltd.","All","1 Day to 75 Years   (Child, Adult, Older Adult)","Phase 3","1537","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","JSEPI-003","November 2008","March 2010","October 2010","June 2, 2014",,"June 2, 2014","Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT02152709"
15,"NCT03867643","Efficacy of Hepatitis B Vaccine Boosters Among Neonatally Vaccinated Children in Chongqing",,"Recruiting","No Results Available","Hepatitis B Vaccine Adverse Reaction","Biological: hepatitis B vaccine(HepB)","HBsAb positive rate|HBsAg-specific T cell response|HBsAb protective efficacy","Children's Hospital of Chongqing Medical University","All","1 Year to 15 Years   (Child)",,"80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2019-09","July 9, 2021","September 9, 2021","December 31, 2025","March 8, 2019",,"March 10, 2022","Children's Hospital of Chongqing Medical University, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT03867643"
16,"NCT04326803","Hepatitis B en Haitian Immigrants in Chile: Molecular Characterization and Determination of Vaccine Response",,"Unknown status","No Results Available","Hepatitis B","Biological: Hepatitis B recombinant vaccine","Response rate","Pontificia Universidad Catolica de Chile","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","180814005|1191389","June 1, 2020","June 30, 2022","December 30, 2023","March 30, 2020",,"March 31, 2020",,,"https://ClinicalTrials.gov/show/NCT04326803"
17,"NCT03396458","Hepatitis B Prevalence in the Turkish Population Living in Middle Limburg","HBVTR","Unknown status","No Results Available","Hepatitis B","Diagnostic Test: Hepatitis B serology|Other: Questionnaire","Seroprevalence of current HBV infection in the Turkish population|Seroprevalence of protective antibodies against HBV infection in the Turkish population|Assess risk factors for past or current HBV infecion in the Turkish population","Hasselt University","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","HBVTR-1.0","September 1, 2017","August 31, 2020","August 31, 2020","January 11, 2018",,"January 27, 2020","Ziekenhuis Oost-Limburg, Genk, Limburg, Belgium",,"https://ClinicalTrials.gov/show/NCT03396458"
18,"NCT01446978","Three Doses of Hepatitis A Vaccine in Patients With Immunomodulating Drugs",,"Unknown status","No Results Available","Vaccine Response Impaired","Biological: hepatitis A vaccine","seroconversion after the first dose/doses of hepatitis A vaccine|seroconversion rates after three doses of hepatitis A vaccine","Sormland County Council, Sweden","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Rombo - 2","September 2011","August 2016","August 2016","October 5, 2011",,"November 18, 2015","Dept infectious diseases, Eskilstuna, Sweden|Department of infectious diseases, Stockholm, Sweden|Dept infectious diseases, Uppsala, Sweden|Dept infectious diseases, Örebro, Sweden",,"https://ClinicalTrials.gov/show/NCT01446978"
19,"NCT03168412","A Study on the Recombinant Hepatitis E Vaccine (Escherichia Coli) (Accelerated Vaccination Schedule)",,"Completed","No Results Available","Hepatitis E","Biological: Recombinant Hepatitis E Vaccine (Escherichia Coli)","Anti-HEV antibody of Experimental Group|Adverse reactions/events of Experimental Group and Control Group|Anti-HEV antibody of Control Group","Xiamen Innovax Biotech Co., Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 4","125","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-HE-008","May 25, 2017","July 15, 2018","November 28, 2018","May 30, 2017",,"February 21, 2019","Changshan Center for Disease Control and Prevention, Quzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT03168412"
20,"NCT04071379","Comparison of Immunogenicity and Safety of DTP-HB-Hib (Bio Farma) With Pentabio® Vaccine Primed With Recombinant Hepatitis B",,"Completed","No Results Available","Immunogenicity|Safety","Biological: Recombinant Hepatitis B + DTP-HB-Hib|Biological: Hep B + Pentabio (registered)","To evaluate protectivity of DTP-HB-Hib Vaccine (Bio Farma) with new Hepatitis B bulk|Describes antibody response to diphtheria toxoid, tetanus toxoid in both group with the evaluation criteria|Serological response to the pertussis component (agglutinins)|Geometric mean of anti-HbsAg|Serological response to Hib/PRP|Seroconversion","PT Bio Farma","All","0 Days to 3 Days   (Child)","Phase 3","220","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","Penta BS19","October 13, 2020","April 6, 2021","December 16, 2021","August 28, 2019",,"January 18, 2022","Garuda Primary Health Centre, Bandung, West Java, Indonesia|Ibrahim Adjie Primary Health Centre, Bandung, West Java, Indonesia|Puter Primary Health Care, Bandung, West Java, Indonesia",,"https://ClinicalTrials.gov/show/NCT04071379"
21,"NCT01933412","Efficacy and Safety of Hepatitis B Vaccine in Chronic Kidney Disease Patients",,"Unknown status","No Results Available","Chronic Kidney Disease|Hepatitis B","Biological: Sci-B-Vac Hepatitis B Vaccine|Biological: Engerix B Hepatitis B Vaccine","anti-Hepatitis B surface levels ≥ 10 IU/mL|anti-Hepatitis B surface antibody Geometric Mean Concentrations|52 week anti-Hepatitis B surface antibody Geometric Mean Concentrations|serum titer levels of anti-Hepatitis B surface antibodies|Adverse events","Tel-Aviv Sourasky Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","TLVMC1.2013","March 2012","August 2013",,"September 2, 2013",,"September 2, 2013","Tel Aviv Sourasky Medical Center Dialysis Unit, Tel Aviv, Israel",,"https://ClinicalTrials.gov/show/NCT01933412"
22,"NCT02417597","A Phase Ⅳ Clinical Trial of the Recombinant Hepatitis E Vaccine (Escherichia Coli)",,"Completed","No Results Available","Hepatitis E","Biological: Recombinant Hepatitis E Vaccine (Escherichia Coli)","Adverse reactions/events|Anti-HEV antibody","Xiamen Innovax Biotech Co., Ltd|Xiamen University|Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 4","600","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-HE-006","April 2015","May 2016","May 2016","April 15, 2015",,"May 18, 2016","Kaihua Center for Disease Control and Prevention, Quzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT02417597"
23,"NCT00792610","The Hepatitis B Vaccine Booster Response Among the Youth Who Had Completed Neonatal Hepatitis B Vaccines",,"Completed","Has Results","Hepatitis B","Biological: hepatitis B vaccine","Hepatitis B Surface Antibody Seroprotective Rate(Seroprotective: for Those Who Had Anti-HBs(Surface Antibody Against Hepatitis B) Titer Higher Than 10 mIU/mL)","National Taiwan University Hospital|National Science Council, Taiwan","All","18 Years to 23 Years   (Adult)","Not Applicable","127","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","200701049M|NSC96-2314-B-0020115","August 2007","January 2009","February 2009","November 18, 2008","September 24, 2009","October 6, 2009","National Taiwan University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT00792610"
24,"NCT03316807","Immunogenicity of Hepatitis B Vaccination in HIV-infected Adults","HIV","Completed","Has Results","Hepatitis B Vaccine","Biological: 60 µg dose hepatitis B vaccine|Biological: 20 µg dose hepatitis B vaccine","Number and Percentage of Participants With Anti-HBs Seroconversion at Month 7|Anti-HBs Concentration at Month 7|Number and Percentage of Participants With Anti-HBs Seroconversion at Month 12|Anti-HBs Concentration at Month 12|Occurrence of Adverse Events After Vaccination|Serious Adverse Events (SAE) Occurred During 42 Month","Suping Wang|Centers for Disease Control and Prevention, China|Shanxi Medical University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","182","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","2012ZX10002001003004004","October 2014","July 2015","July 2018","October 20, 2017","January 14, 2021","March 11, 2022",,,"https://ClinicalTrials.gov/show/NCT03316807"
25,"NCT03654664","To Evaluate the Immunogenicity and Safety of Inactivated Hepatitis A Vaccine","VITHA-C","Completed","No Results Available","Hepatitis A Vaccine","Biological: Inactivated hepatitis A vaccine|Biological: Havrix Inj","Seroconversion rate|Antibody titer (GMT)","Boryung Pharmaceutical Co., Ltd","All","12 Months to 23 Months   (Child)","Phase 3","119","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","BR-HAV-CT-301","June 20, 2017","June 24, 2019","June 24, 2019","August 31, 2018",,"July 7, 2023","The Catholic University of Korea, Incheon St.Mary's Hospital, Incheon, Bupyeong-gu, Korea, Republic of|The Catholic University of Korea, St.Vincent's Hospital., Suwon-si, Gyeonggi-do, Korea, Republic of|Korea University Ansan Hospital, Ansan, Korea, Republic of|Chanwon Fatima Hospital, Changwon, Korea, Republic of|KeiMyung University Dongsan Medical Center, Daegu, Korea, Republic of|Gachon University Gil Hospital, Incheon, Korea, Republic of|Hanil General Hospital, Seoul, Korea, Republic of|Korea cancer center Hospital, Seoul, Korea, Republic of|Nowon Eulji Medical center , Eulji University, Seoul, Korea, Republic of|Wonju Sevrance Christian Hospital, Wonju, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03654664"
26,"NCT01146808","Adefovir Plus Vaccination in Transplant Patients Without Hepatitis B That Receive a Core Antibody Positive Liver",,"Completed","Has Results","Hepatitis B|Liver Transplantation","Drug: Adefovir dipivoxil and hepatitis B vaccination","Development of de Novo Hepatitis B Infection After Transplant With a Core Antibody Positive Liver|Proportion of Patients With a Sustained Hepatitis B Surface Antibody Titer > 500 IU/mL Prior to and After Vaccination|Proportion of Patients Who Develop de Novo Hepatitis B Infection Post ADV Withdrawal, Which Will be Assessed at 6 Months Post Withdrawal","Columbia University|Gilead Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","16","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AAAB8413|IN-US-103-0158","March 2006","September 2011","September 2012","June 22, 2010","March 15, 2017","August 10, 2021","Center for Liver Disease and Transplantation at Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01146808"
27,"NCT02963714","Immunogenicity of Hepatitis B Vaccination in Hemodialysis Patients",,"Completed","Has Results","Hepatitis B Vaccine","Biological: 60 µg dose hepatitis B vaccine|Biological: 20 µg dose hepatitis B vaccine","Anti-HBs Seroconversion Rate at Month 7|Anti-HBs Seroconversion Rate at Month 42|Anti-HBs Seroconversion Rate at Month 36|Anti-HBs Seroconversion Rate at Month 30|Anti-HBs Seroconversion Rate at Month 24|Anti-HBs Concentration at Month 7|Anti-HBs Concentration at Month 12|Anti-HBs Seroconversion Rate at Month 12|Occurrence of Adverse Events After Vaccination|Anti-HBs Seroconversion Rate at Month 18","Suping Wang|Centers for Disease Control and Prevention, China|Shanxi Medical University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","352","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2012ZX10002001003004001","December 2014","July 2015","July 2018","November 15, 2016","February 14, 2022","February 14, 2022",,,"https://ClinicalTrials.gov/show/NCT02963714"
28,"NCT02991599","Immunogenicity of Hepatitis B Vaccination in Methadone Maintenance Treatment Patients",,"Completed","Has Results","Hepatitis B Vaccine","Biological: 60 µg dose hepatitis B vaccine|Biological: 20 µg dose hepatitis B vaccine","Number and Rate of Participants With Anti-HBs Seroconversion at Month 7|Anti-HBs Concentration at Month 7|Anti-HBs Concentration at Month 12|Number and Rate of Participants With Anti-HBs Seroconversion at Month 12|Occurrence of Adverse Events After Vaccination|Anti-HBs Concentration at Month 18|Number and Rate of Participants With Anti-HBs Seroconversion at Month 18|Anti-HBs Concentration at Month 30|Number and Rate of Participants With Anti-HBs Seroconversion at Month 30|Anti-HBs Concentration at Month 42|Number and Rate of Participants With Anti-HBs Seroconversion at Month 42","Shanxi Medical University|Centers for Disease Control and Prevention, China","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","196","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2012ZX10002001003004003","October 2014","July 2015","May 2018","December 13, 2016","July 30, 2019","December 23, 2021",,,"https://ClinicalTrials.gov/show/NCT02991599"
29,"NCT01014845","Clinical Trial of Recombinant Hepatitis E Vaccine",,"Completed","No Results Available","Hepatitis E","Biological: hepatitis E vaccine|Biological: Hepatitis B vaccine","Rate of confirmed hepatitis E cases|IgG anti-HEV seroconversion rate|Persistency of IgG anti-HEV","Xiamen University|Xiamen Innovax Biotech Co., Ltd|Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.|National Institute of Diagnostics and Vaccine Development in infectious disease|Jiangsu Provincial Center for Disease Control and Prevention","All","16 Years to 65 Years   (Child, Adult, Older Adult)","Phase 3","112604","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Pro-HE-003|2006AA02A209","August 2007","October 2017","October 2017","November 17, 2009",,"July 13, 2020","Dongtai Center for Disease Control and Prevention, Dongtai, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT01014845"
30,"NCT04139850","The Establishment of Korean Hepatitis B Patients Cohort",,"Recruiting","No Results Available","Chronic Hepatitis B","Drug: Discontinuation of antiviral treatment in chronic hepatitis B cohort patients","Development of liver cirrhosis, decompensation or liver cancer|Safety and efficacy for patients with or without antiviral therapy","Yonsei University","All","19 Years and older   (Adult, Older Adult)",,"2000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","4-2015-0748","September 25, 2015","August 2026","August 2026","October 25, 2019",,"October 25, 2019","Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04139850"
31,"NCT02203357","A Randomized,Parallel-group Clinical Trial of Hepatitis B Vaccine With Different Dosages and Schedules in Healthy Adults",,"Completed","Has Results","Hepatitis B","Biological: Hepatitis B vaccine","Immunogenicity of Hepatitis B Vaccine With Different Doses and Schedules in Healthy Young Adults","Peking University|Guangxi Center for Disease Control and Prevention|Liuzhou City Center for disease control and prevention|Shenzhen Kangtai Biological Products Co., LTD","All","18 Years to 25 Years   (Adult)","Phase 4","353","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","HepB-2014","March 2014","June 2016","December 2016","July 29, 2014","October 3, 2019","October 18, 2019","Peking University, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02203357"
